10044;Certificado Ingreso y Retenciones 2010;700;0;450;28;0;1;7702124348053
10045;Hoja Kardex;100;0;45;146;0;1;7702124470518
10046;Contrato individual de trabajo fijo 1 año;1500;0;1050;17;0;1;7702124695287
10047;Plastilina x 8 Unidades Parchesito;1200;0;596;15;0;1;7702163140021
10048;Plastilina corta x 8  Barras parchesito;600;0;338;18;0;1;7702163140038
10049;Crayones Parchesitos x 10;2000;0;1226;5;0;1;7702163140298
10050;Crayola;3800;0;3800;3;0;1;7702163140427
10051;Colbón 20G si Pega;400;0;280;12;0;1;7702163151010
10052;Colbon 40 Grms Si Pega;600;0;340;12;0;1;7702163151027
10053;Colbón 125G Si Pega;1700;0;1003;8;0;1;7702163151034
10054;Colbon 250G SI Pega;2500;0;1752;4;0;1;7702163151041
10055;Tempera Parchesitos x 6;2400;0;1572;10;0;1;7702163160166
10056;Cuaderno doble linea 50 Hojas;1000;0;700;13;0;1;7702212563351
10057;Cuaderno doble linea 100 Hojas;1200;0;840;5;0;1;7702212597776
10058;Cuaderno Cosido Grande Económico;2000;0;1649;27;0;1;7702212605013
10059;Pegadit Super Adhesivo 4G;2800;0;2032;46;0;1;7702505502524
10060;Tinta china negra Pelikán;2000;0;1455;13;0;1;7703064340503
10061;Tinta china dorada plateada Pelikan;2400;0;1631;17;0;1;7703064357006
10062;Tinta china color;2400;0;1631;0;0;1;7703064358003
10063;Refuerzo 100 Piezas Pelikán;1000;0;389;13;0;1;7703064410008
10064;Borrador Nata PZ 20 Pelikan;400;0;227;4;0;1;7703064446502
10065;Borrador Nata PZ 60 Pelikan;300;0;147;57;0;1;7703064447509
10066;Marcador grafito pelikan;1700;0;1159;4;0;1;7703064488007
10067;Pistola fulminantes;3500;0;1500;4;0;3;7690250824827
10068;Tambor grande;10000;0;4800;2;0;3;7703753004099
10069;Cuerda saltar espuma;6500;0;3350;4;0;3;6932588602182
